;Nombre;NIF;Localidad;País;Inmovilizado_Inmaterial;Fecha_Constitucion;Last_year;ROA23;Total_Activo;Ingresos_Explotacion;Empleados;Ratio_Liquidez;Ratio_Solvencia;CNAE;Ratio_Endeudamiento;EBITDA;Resultado_Ejercicio
671.;SOLID CODE SOCIEDAD LIMITADA.;B27878792;VIGO;ESPANA;n.d.;10/01/2020;31/12/2024;55,68;610;997;3;416,55;4,17;6202;0;360;301
672.;URBAN DESIGN STUDIO SL.;B88283221;FUENLABRADA;ESPANA;n.d.;10/01/2019;31/12/2024;-35,45;297;330;6;134,89;1,35;6201;108,67;-104;-79
673.;KUAT SOLUTIONS S.L.;B67501536;MADRID;ESPANA;n.d.;12/09/2019;31/12/2024;56,67;52;57;10;103,91;1,04;6201;55,34;30;30
674.;FACTUM IDENTITY SOLUTIONS SL.;B09694217;MADRID;ESPANA;666;01/02/2022;31/12/2023;2,44;1.195;722;8;66,66;0,67;6202;39,87;94;7
675.;APERTUM ONLINE SL.;B44830479;MADRID;ESPANA;n.d.;06/03/2023;31/12/2023;-26,73;201;720;6;76,74;0,77;6190;90,02;-54;-54
676.;IMPACT MEDIA MANAGEMENT SL.;B93750222;ALHAURIN EL GRANDE;ESPANA;n.d.;28/05/2020;31/12/2023;44,02;191;720;10;89,46;0,89;6202;8,46;84;63
677.;MRU INSTRUMENTS SL.;B88568969;ALPEDRETE;ESPANA;n.d.;08/01/2020;31/12/2023;10,4;264;719;3;76,03;0,76;2651;28,63;29;26
678.;ARIAGE TECHNOLOGIES SL.;B88456231;MADRID;ESPANA;2;31/07/2019;31/12/2024;3,79;363;691;11;264,16;2,64;6201;26;21;8
679.;MANIFONE IBERIA SL.;B01762145;MADRID;ESPANA;n.d.;21/07/2020;31/12/2024;-4,86;570;525;2;11.155,34;111,55;6190;145,19;-28;-28
680.;SOLUCIONES LOGISTICAS SAUCEDA SL.;B88463393;ARROYOMOLINOS;ESPANA;n.d.;14/08/2019;31/12/2024;23,49;241;824;12;253,63;2,54;6202;0,79;61;44
681.;INFOFIVE SL;B13623079;TOMELLOSO;ESPANA;n.d.;09/01/2019;31/12/2024;9,05;330;730;10;117,69;1,18;6201;31,21;31;18
682.;EKUANIME TECHNOLOGY GROUP SOCIEDAD LIMITADA.;B67682690;LA RINCONADA;ESPANA;n.d.;01/11/2021;31/12/2024;35,41;281;545;9;271,74;2,72;6202;4,11;104;89
683.;MEDINA ENVIOS SL.;B05431051;MADRID;ESPANA;n.d.;29/04/2021;31/12/2024;50,94;422;493;11;240,58;2,41;6190;0;219;165
684.;OSMIUM SOLUTIONS SPAIN S.L.;B67579763;BARCELONA;ESPANA;n.d.;15/01/2020;31/12/2024;6,8;255;364;4;500,14;5;6130;0;18;98
685.;ORIGEN INTELIGENCIA ARTIFICIAL SL.;B01952399;MADRID;ESPANA;29;09/10/2020;31/12/2024;16,45;116;453;5;215,37;2,15;6209;3,76;20;14
686.;A-FACTORY. TECHNOLOGY & INNOVATION SL.;B05354741;VILLAVICIOSA DE ODON;ESPANA;n.d.;12/04/2021;31/12/2024;57,13;123;398;2;198,23;1,98;6209;11,53;70;52
687.;ECOMMALIA ECOMMERCE COMPANY SOCIEDAD LIMITADA.;B56137714;ONTINYENT;ESPANA;n.d.;29/06/2023;31/12/2024;75,4;179;257;10;233,46;2,33;6201;0;135;104
688.;EFICAE IOTECH S.L.;B02827541;BADAJOZ;ESPANA;n.d.;20/11/2020;31/12/2024;7,86;230;364;8;453,15;4,53;6201;21,74;19;21
689.;DOCUSIGN SPAIN S.L.;B67908657;BARCELONA;ESPANA;n.d.;16/12/2021;31/01/2023;n.d.;n.d.;n.d.;4;n.d.;n.d.;6120;n.d.;n.d.;n.d.
690.;MCFLY TECHNOLOGIES SL.;B45904828;YUNCLER;ESPANA;n.d.;04/02/2019;31/12/2022;n.d.;n.d.;n.d.;16;n.d.;n.d.;2611;n.d.;n.d.;n.d.
691.;SIGNOS NEW TECHNOLOGIES SOCIEDAD LIMITADA.;B99542573;ZARAGOZA;ESPANA;n.d.;26/02/2019;31/12/2022;n.d.;n.d.;n.d.;4;n.d.;n.d.;6311;n.d.;n.d.;n.d.
692.;APOLO ANALYTICS S.L.;B67616219;BARCELONA;ESPANA;111;03/04/2020;31/12/2024;3,65;431;303;9;70,53;0,71;6209;27,76;18;3
693.;IT CLOUDING S.L.;B67623108;BARCELONA;ESPANA;n.d.;19/05/2020;31/12/2024;17,96;118;245;8;351,31;3,51;6202;0;29;17
694.;DIVERGENT MINDS S.L.;B67504472;BARCELONA;ESPANA;n.d.;03/09/2019;31/12/2024;6,6;71;436;2;68,83;0,69;6201;117,42;5;4
695.;BLUCO COMERCIO ELECTRONICO SOCIEDAD LIMITADA.;B52568110;GIJON;ESPANA;12;18/01/2019;31/12/2024;18,92;180;515;15;105,96;1,06;6202;47,42;42;24
696.;INSCATEL TELECOMUNICACIONES SL.;B72755549;POSADAS;ESPANA;n.d.;16/11/2022;31/12/2024;25,92;164;440;15;196,3;1,96;6110;19,34;45;31
697.;Q2TEC SL.;B56852742;GIJON;ESPANA;n.d.;29/01/2024;31/12/2024;n.d.;n.d.;n.d.;6;n.d.;n.d.;6202;n.d.;n.d.;n.d.
698.;INROBICS SOCIAL ROBOTICS SOCIEDAD LIMITADA LABORAL.;B02955888;LEGANES;ESPANA;231;21/12/2020;31/12/2024;-17,65;787;216;12;2.190,77;21,91;6209;19,37;-64;-127
699.;JACEXCO TECH SOCIEDAD LIMITADA.;B72720972;VILLALBILLA;ESPANA;n.d.;08/11/2022;31/12/2024;56,24;144;435;4;323,9;3,24;6202;0;85;69
700.;XPND TECHNOLOGIES S.L.;B13919741;ARENYS DE MUNT;ESPANA;22;12/06/2023;31/12/2024;-87,42;48;n.d.;1;1.874,07;18,74;2620;0,25;-42;-31
701.;BCHANGE MINDSET MANAGEMENT SL.;B88570098;MADRID;ESPANA;754;14/01/2020;31/12/2024;13,78;983;644;11;62,61;0,63;6201;28,21;259;110
702.;NETWORK HERO S.L.;B06914352;SANT JOAN DE VILATORRADA;ESPANA;0;15/06/2021;31/12/2023;9,95;143;700;4;113,38;1,13;6190;1,12;15;8
703.;IGG GAMES SPAIN S.L.;B67463836;BARCELONA;ESPANA;n.d.;27/06/2019;31/12/2023;15,95;236;698;11;214,29;2,14;6209;19,16;42;29
704.;VERTEX SOLUTIONS INTERNATIONAL CONSULTING SL.;B67777854;MADRID;ESPANA;n.d.;17/11/2021;31/12/2023;109,21;33;698;9;75,05;0,75;6209;0;36;36
705.;ALVALON FAMILY S.L.;B67446708;CASTELLDEFELS;ESPANA;n.d.;28/05/2019;31/12/2024;0,67;6.440;652;7;259,14;2,59;6399;0,01;43;32
706.;FUSION HEALTH TECHNOLOGY SOLUTIONS SPAIN S.L.;B16806572;BARCELONA;ESPANA;n.d.;03/08/2021;31/12/2023;-14,29;505;696;4;75,15;0,75;6202;87,62;-72;-54
707.;EVERGUILD SPAIN SL.;B88523311;MADRID;ESPANA;n.d.;13/11/2019;31/12/2023;26,99;154;696;12;291,1;2,91;6201;0,96;48;32
708.;CIB ARTWORK SOCIEDAD LIMITADA.;B42761692;VALENCIA;ESPANA;n.d.;07/01/2021;31/12/2023;0,57;115;694;10;159,49;1,59;5829;0;6;0
709.;EDGENDRIA INNOVACION SL.;B16975013;MADRID;ESPANA;n.d.;05/10/2021;31/12/2022;n.d.;n.d.;n.d.;2;n.d.;n.d.;6201;n.d.;n.d.;n.d.
710.;SNISKO ENTERTAINMENT SL.;B42665992;ALICANTE/ALACANT;ESPANA;7;27/08/2019;31/12/2024;10,25;966;1.051;17;1.223,12;12,23;6201;23,29;106;67
711.;202 DIGITAL REPUTATION S.L.;B06906226;BARCELONA;ESPANA;8;15/06/2021;31/12/2023;58,23;355;693;7;900,03;9;6209;2,25;210;208
712.;AGILIZA SOLUTIONS S.L.;B42757930;SANT JUST DESVERN;ESPANA;n.d.;18/01/2021;31/12/2022;n.d.;n.d.;n.d.;1;n.d.;n.d.;6311;n.d.;n.d.;n.d.
713.;BIGSTAMPING SOCIEDAD LIMITADA.;B10607307;SEVILLA;ESPANA;n.d.;27/04/2022;31/12/2024;45,27;155;716;6;238,29;2,38;6190;0;71;54
714.;ID VISION SOFTWARE SOCIEDAD LIMITADA.;B55348643;RIUDELLOTS DE LA SELVA;ESPANA;n.d.;16/05/2019;31/12/2024;0,73;203;363;7;328,05;3,28;6201;8,79;7;12
715.;ASTARA INTELLIGENCE SL.;B10642650;ALCOBENDAS;ESPANA;n.d.;03/05/2022;31/12/2023;-58,44;1.004;690;8;124,53;1,25;6209;0;-587;-502
716.;YUREST SOLUTIONS SOCIEDAD LIMITADA.;B40597437;VALENCIA;ESPANA;349;03/07/2019;31/12/2024;14,29;452;379;17;110,12;1,1;6209;86,74;77;43
717.;ERASMUSPLAY TECHNOLOGIES SL.;B01662022;ZARAGOZA;ESPANA;40;25/06/2020;31/12/2024;35,35;730;588;13;1.234,00;12,34;6209;13,14;265;213
718.;SAURUS SUBSIDIARY SL.;B01923002;MALAGA;ESPANA;n.d.;30/07/2020;31/12/2023;-23,06;295;684;21;90,01;0,9;6201;0;-63;-68
719.;SMARTPOS DEVELOPMENT S.L.;B67397232;BARCELONA;ESPANA;n.d.;12/03/2019;31/12/2024;18,71;129;627;3;177,81;1,78;6209;0,68;26;19
720.;DAMASO2021 SL.;B01627371;MADRID;ESPANA;n.d.;16/06/2020;31/12/2023;-17,46;119;681;8;77;0,77;6209;52,68;-21;-18
721.;ITALK ADVANCED COMMUNICATIONS SOCIEDAD LIMITADA.;B76337146;PUERTO DEL ROSARIO;ESPANA;0;23/01/2019;31/12/2024;10,66;113;847;3;165,98;1,66;6209;0,08;15;5
722.;ANUNCIO MARKETING SL.;B01718147;MADRID;ESPANA;n.d.;09/07/2020;31/12/2024;85,62;187;630;1;293,64;2,94;6312;1,42;161;121
723.;CUATRO DIGITAL TECHNOLOGY, SOCIEDAD LIMITADA.;B88383872;NIGRAN;ESPANA;n.d.;07/05/2019;31/12/2024;-11,38;340;1.422;6;111,67;1,12;6209;10,22;-36;-37
724.;SIPEARL S.L.;B06831168;CASTELLDEFELS;ESPANA;n.d.;28/05/2021;31/12/2023;8,66;307;676;8;68,89;0,69;6209;3,77;34;220
725.;TECHYUNIK AV DESIGN SL.;B88314216;MADRID;ESPANA;n.d.;13/02/2019;31/12/2024;13,7;324;486;2;193,77;1,94;6209;0;46;44
726.;AGGYLON MANAGEMENT SYSTEMS S.L.;B04963179;BARCELONA;ESPANA;40;16/03/2021;31/12/2024;4,73;329;600;11;201,92;2,02;6209;31,32;23;8
727.;CRISP STUDIO S.L.;B67579045;BARCELONA;ESPANA;n.d.;22/01/2020;31/12/2021;n.d.;n.d.;n.d.;4;n.d.;n.d.;6209;n.d.;n.d.;n.d.
728.;ONTRUCK TECHNOLOGIES SL.;B56788052;MADRID;ESPANA;n.d.;12/12/2023;31/12/2024;n.d.;n.d.;n.d.;13;n.d.;n.d.;6201;n.d.;n.d.;n.d.
729.;SAMXATEC SOLUTIONS FOR THE CLOUD SL.;B09691239;COLLADO VILLALBA;ESPANA;n.d.;01/02/2022;31/12/2024;25,74;129;697;8;308,21;3,08;6201;0;33;28
730.;MATCHERS FINLAND SL.;B93672319;FUENGIROLA;ESPANA;0;25/02/2019;31/12/2023;8,81;351;673;18;829,02;8,29;6399;6,48;33;24
731.;GLOBAL DATA QUANTUM SOCIEDAD LIMITADA.;B09866690;BILBAO;ESPANA;n.d.;07/03/2022;31/12/2024;24,89;79;450;9;308,41;3,08;6209;0;20;17
732.;PLAYJOY GAMES SOCIEDAD LIMITADA.;B40655979;VALENCIA;ESPANA;532;27/03/2020;31/12/2023;1,82;795;671;11;687,43;6,87;6201;20,78;51;-4
733.;AO DATA CLOUD AND HOSTING S.L.;B01976687;SABADELL;ESPANA;-1;28/09/2020;31/12/2023;35,52;598;670;4;195,31;1,95;6311;0;214;183
734.;MAIN CONECTION SL.;B88442843;MADRID;ESPANA;n.d.;14/08/2019;31/12/2023;-31,32;129;667;1;200,93;2,01;6209;0;-39;-30
735.;GOBECLOUD SL.;B42813410;ALCALA DE HENARES;ESPANA;n.d.;29/01/2021;31/12/2024;32,33;267;710;6;185,29;1,85;6202;4,18;90;66
736.;THE SAMPLING SOLUTIONS S.L.;B67567230;CONSTANTI;ESPANA;564;30/12/2019;31/12/2024;-26,12;1.362;391;26;59,69;0,6;6209;54,4;-274;-151
737.;KAAVAN DIGITAL SL.;B01821685;SANTANDER;ESPANA;384;03/08/2020;31/12/2023;1,62;734;663;10;200,86;2,01;6201;31,31;73;-2
738.;CORRECTA DIGITAL SL.;B67956870;MADRID;ESPANA;211;29/12/2021;31/12/2024;14,07;351;152;20;23,2;0,23;6202;68,66;49;49
739.;BRAINWASH GANG SL.;B16885501;MADRID;ESPANA;n.d.;21/09/2021;31/12/2023;0,13;114;661;16;386,47;3,86;5821;0;0;-14
740.;TOPII FIDE EUROPE SL;B01980382;MADRID;ESPANA;207;28/09/2020;31/12/2024;-35,35;1.841;829;8;66,96;0,67;6209;10,88;-651;-504
741.;360FULLCOMMERCE SL.;B88536578;MADRID;ESPANA;n.d.;27/11/2019;31/12/2023;2,8;518;658;2;103,51;1,04;5829;2,95;15;11
742.;QRANEOS, SOCIEDAD LIMITADA.;B02924116;ARUCAS;ESPANA;n.d.;15/12/2020;31/12/2024;n.d.;n.d.;n.d.;8;n.d.;n.d.;6209;n.d.;n.d.;n.d.
743.;MUGA INFORMATIKA ZERBITZUAK SL.;B44638161;GETARIA;ESPANA;n.d.;01/02/2023;31/12/2024;10,01;120;206;3;175,91;1,76;6201;43,31;13;11
744.;TAXILOGIC SOCIEDAD LIMITADA.;B98619471;BETERA;ESPANA;125;15/01/2020;31/12/2024;6,77;245;492;9;6,8;0,07;6190;77,72;56;8
745.;FEEL THE HEAT TECHNOLOGIES SL.;B88481940;MADRID;ESPANA;969;24/09/2019;31/12/2024;-38,7;1.768;434;25;269,39;2,69;6209;12,76;-505;-533
746.;VENTANAS VIKONDA S.L.;B72783632;GAVA;ESPANA;n.d.;22/11/2022;31/12/2023;-13,96;312;645;4;87,85;0,88;6201;2,08;-43;-44
747.;ALDEBARAN IT SERVICES DGM SL.;B88480298;BOADILLA DEL MONTE;ESPANA;n.d.;20/09/2019;31/12/2024;53,83;699;540;2;243,16;2,43;6202;27,16;383;289
748.;ESPINOSATEL SOCIEDAD LIMITADA.;B01921691;LA RINCONADA;ESPANA;n.d.;11/09/2020;31/12/2024;11,95;119;510;14;128,92;1,29;6110;0,8;17;1
749.;AEGIS CERTIFICATION SL.;B16772162;MADRID;ESPANA;n.d.;09/07/2021;31/12/2024;77,55;149;595;6;265,05;2,65;6209;37,28;115;108
750.;INVECTRICA SPORT SL.;B88481445;MADRID;ESPANA;49;24/09/2019;31/12/2024;16,96;489;245;8;945,5;9,45;6201;39,7;83;61
751.;DEMPO DIGITAL SOLUTIONS SOCIEDAD LIMITADA.;B09862681;GRANADA;ESPANA;124;07/03/2022;31/12/2024;15,94;331;461;6;71,56;0,72;6201;15,9;71;86
752.;3 COMMAS PROJECTS SL.;B01828367;SANTA CRUZ DE TENERIFE;ESPANA;1;05/08/2020;31/12/2024;14,56;107;440;4;157,72;1,58;6209;31,48;16;15
753.;EAGORA ALGORISME DEL CANVI, SOCIEDAD LIMITADA.;B42908988;REUS;ESPANA;512;18/02/2021;31/12/2024;-29,65;696;197;10;534,31;5,34;5829;29,16;-152;-221
754.;FACELOCK TECHNOLOGY, SOCIEDAD LIMITADA.;B05530787;MURCIA;ESPANA;1;26/02/2019;31/12/2024;17,45;1.008;847;4;856,78;8,57;6190;86,14;187;131
755.;SERVICEFORM SOFTWARE SOLUTIONS S.L.;B02878122;BARCELONA;ESPANA;n.d.;01/12/2020;31/12/2023;7,11;160;635;14;140,06;1,4;6201;33,33;13;8
756.;BAMBOO ENERGY PLATFORM S.L.;B01706860;BARCELONA;ESPANA;576;07/07/2020;31/12/2024;-7,36;4.060;373;21;147,36;1,47;6209;90,81;-229;-314
757.;GUS TECHNOLOGIES SPAIN SL.;B88625207;MADRID;ESPANA;n.d.;17/01/2020;31/12/2023;-72,15;647;633;9;49,12;0,49;6201;84,73;-465;-365
758.;GOLDEN EGGS, SOCIEDAD LIMITADA;B02900181;A CORUÑA;ESPANA;n.d.;09/12/2020;31/12/2023;39,57;554;633;8;222,08;2,22;6202;7,22;221;169
759.;IZERTIS CANARIAS, SOCIEDAD LIMITADA.;B76363373;LAS PALMAS DE GRAN CANARIA;ESPANA;39;20/12/2019;31/12/2023;-24,6;304;632;8;181,69;1,82;6202;183,99;-57;-61
760.;SHIRTUM EUROPA SL;B01799386;BARCELONA;ESPANA;n.d.;30/07/2020;31/12/2022;n.d.;n.d.;n.d.;16;n.d.;n.d.;5829;n.d.;n.d.;n.d.
761.;OSLICE TECHNOLOGY SOCIEDAD LIMITADA.;B02689834;ALCALA LA REAL;ESPANA;n.d.;16/10/2020;31/12/2024;1,55;307;282;6;114;1,14;2651;52,75;14;1
762.;DALO SERVICIOS TELCO, SOCIEDAD LIMITADA.;B10837110;OLEIROS;ESPANA;n.d.;17/06/2022;31/12/2023;47,92;826;630;1;338,75;3,39;6190;0;396;305
763.;RADIOTAXI BURGOS SL.;B06800544;BURGOS;ESPANA;n.d.;21/05/2021;31/12/2022;n.d.;n.d.;n.d.;8;n.d.;n.d.;6190;n.d.;n.d.;n.d.
764.;GRAPHENUS BIG DATA SOLUTIONS SOCIEDAD LIMITADA.;B67868372;LOGROÑO;ESPANA;211;09/12/2021;31/08/2024;-0,52;762;91;10;81,34;0,81;6202;48,22;-4;-4
765.;METANEXO SOCIEDAD LIMITADA.;B09831009;LEON;ESPANA;n.d.;11/02/2022;31/12/2024;83,65;61;312;15;15.260,36;152,6;6110;0,66;51;43
766.;SINPEL GESTION DE ALMACENES SOCIEDAD LIMITADA.;B42796920;DURANGO;ESPANA;n.d.;26/01/2021;31/12/2022;n.d.;n.d.;n.d.;12;n.d.;n.d.;6209;n.d.;n.d.;n.d.
767.;CODIGO CREATIVO SOLUTIONS, SOCIEDAD LIMITADA.;B01630805;PONTEVEDRA;ESPANA;n.d.;11/06/2020;31/12/2024;41,85;111;411;6;661,34;6,61;6209;0;55;43
768.;SPORTS DATA INNOVATION S.L.;B67378307;BARCELONA;ESPANA;191;11/02/2019;31/12/2024;-14,7;1.181;347;4;189,58;1,9;6201;19,91;-173;-146
769.;NOMADAX 365 SL.;B44600468;ARGANDA DEL REY;ESPANA;n.d.;24/01/2023;31/12/2024;-0,65;90;341;1;99,44;0,99;6202;1,17;-1;-1
770.;ZZ DATA LABS SOCIEDAD LIMITADA.;B99562407;ZARAGOZA;ESPANA;508;01/01/2020;31/12/2024;13,13;1.333;290;10;661,94;6,62;6209;0,19;187;267
771.;PULSIA IT SOLUTIONS, SOCIEDAD LIMITADA.;B09727900;BOLAÑOS DE CALATRAVA;ESPANA;n.d.;09/02/2022;31/12/2024;20,55;90;695;26;124,87;1,25;6202;0;19;14
772.;BIMEX ANALYTICS S.L.;B67469528;BARCELONA;ESPANA;7;05/07/2019;31/12/2024;14,43;231;523;7;395,45;3,95;6202;2,28;34;25
773.;DAY OF COMPLETE SALES S.L.;B10751709;MATARO;ESPANA;n.d.;24/05/2022;31/12/2023;88,19;152;622;4;343,32;3,43;6399;2,39;135;114
774.;FRESH POINT TECHNOLOGY SL.;B42653287;CAMPOAMOR;ESPANA;n.d.;10/06/2019;31/12/2023;-21,28;394;622;1;105,22;1,05;6120;0;-68;-63
775.;HEROBEAT STUDIOS S.L.;B67410183;L'HOSPITALET DE LLOBREGAT;ESPANA;n.d.;29/03/2019;31/12/2022;n.d.;n.d.;n.d.;14;n.d.;n.d.;6201;n.d.;n.d.;n.d.
776.;COMBI SISTEMAS Y SOLUCIONES, SOCIEDAD LIMITADA.;B70585674;A CORUÑA;ESPANA;n.d.;03/04/2019;31/12/2024;3,95;332;376;5;83,7;0,84;6209;54,23;61;10
777.;WEBELAPP TECHNOLOGIES SL.;B88359096;MADRID;ESPANA;860;02/04/2019;31/12/2024;-17,02;2.662;188;13;1.605,37;16,05;6201;6,52;-289;-465
778.;PROQUO TECNOLOGIA SENCILLA SL.;B71399471;ANSOAIN/ANTSOAIN;ESPANA;1;27/05/2020;31/12/2023;9,04;334;616;3;176,82;1,77;6190;26,9;43;25
779.;HASTEE EUROPE S.L.;B67374504;BARCELONA;ESPANA;n.d.;06/02/2019;31/12/2024;-809,68;232;363;25;33,22;0,33;6209;54,37;-1.877;-1.979
780.;MEDIO CUBO SL.;B06800312;PATERNA;ESPANA;8;21/05/2021;31/12/2023;43,44;659;615;5;383,95;3,84;6209;0;304;222
781.;LA COLMENA CREATIVA SOCIEDAD LIMITADA.;B22414734;HUESCA;ESPANA;n.d.;21/10/2019;31/12/2024;16,06;449;613;14;109,59;1,1;5829;36,83;86;52
782.;FUTURA XR S.L.;B16845737;BARCELONA;ESPANA;243;02/09/2021;31/12/2024;0;453;379;1;143,73;1,44;6201;52,27;n.d.;n.d.
783.;ABSOLUTE SOFTWARES SL.;B42833103;MADRID;ESPANA;n.d.;03/02/2021;31/12/2024;11,25;559;468;1;47,18;0,47;6201;50,01;66;45
784.;ANJANA DATA SL.;B88463450;BILBAO;ESPANA;2.808;14/08/2019;31/12/2023;-10,18;3.410;613;13;144,74;1,45;6201;54,01;177;-111
785.;WEBCONNECT WORLD SL.;B88379102;MADRID;ESPANA;n.d.;26/04/2019;31/12/2023;7,1;433;610;1;113,79;1,14;6201;0,19;31;24
786.;ASTROKUBE SL.;B88517255;POZUELO DE ALARCON;ESPANA;62;05/11/2019;31/12/2024;6,06;421;306;4;175,48;1,75;6201;20,33;30;20
787.;MAICROSOFT EUROPE, SOCIEDAD LIMITADA.;B05527726;MURCIA;ESPANA;n.d.;04/02/2019;31/12/2022;n.d.;n.d.;n.d.;14;n.d.;n.d.;6202;n.d.;n.d.;n.d.
788.;SECURE IDENTITY TECHNOLOGIES SL.;B88423827;GETAFE;ESPANA;715;21/06/2019;31/12/2024;-27,28;1.333;5;8;870,96;8,71;6209;30;-278;-329
789.;APEIRON HISPANIA SL.;B16832065;MADRID;ESPANA;n.d.;06/08/2021;31/12/2022;n.d.;n.d.;n.d.;10;n.d.;n.d.;6209;n.d.;n.d.;n.d.
790.;EXTRETEL CO SOC COOP ESPECIAL;F10989663;BADAJOZ;ESPANA;6;01/06/2022;31/12/2024;-47,47;58;410;4;58,17;0,58;6190;28,46;-27;-28
791.;EXACLOUD FACTORY SL.;B88643671;MADRID;ESPANA;10;29/05/2020;31/12/2024;52,63;196;452;2;47,51;0,48;6311;18,33;117;102
792.;BLACKBOX CANARIAS, SOCIEDAD LIMITADA.;B16989956;LAS PALMAS DE GRAN CANARIA;ESPANA;n.d.;29/09/2021;31/12/2024;-16,78;141;381;10;239,81;2,4;6202;99,51;-24;-27
793.;AGT INDUSTRIVA SL.;B72883119;ALACANT/ALICANTE;ESPANA;n.d.;13/12/2022;31/12/2023;81,89;34;601;8;462,67;4,63;2611;0;28;24
794.;DIVLUX LAB SL.;B42802454;SANTA CRUZ DE TENERIFE;ESPANA;n.d.;26/01/2021;31/12/2024;73,18;87;156;6;269,59;2,7;6201;8,24;64;55
795.;EXPERTOS EN TECNOLOGIA INNOVACION Y COMUNICACION SOCIEDAD LIMITADA.;B02623536;ALBACETE;ESPANA;n.d.;29/10/2019;31/12/2024;51,52;138;555;9;199,36;1,99;6209;0;71;54
796.;ARAGO CONSULTING ESPAÑA SL.;B19328145;MALAGA;ESPANA;n.d.;01/05/2019;31/12/2023;-8,21;227;597;12;62,44;0,62;6202;43,01;-17;-19
797.;VOICE & WORDS CANARIAS SOCIEDAD LIMITADA.;B76362409;LA OLIVA;ESPANA;0;10/12/2019;31/12/2024;17,71;94;724;5;68,35;0,68;6190;15,46;20;14
798.;MATRIX42 IBERIA SL.;B72903818;MADRID;ESPANA;n.d.;16/12/2022;31/12/2023;0,26;184;596;1;109,09;1,09;6209;16,3;1;-15
799.;CROOWLY SL.;B88329800;SEVILLA;ESPANA;n.d.;04/03/2019;31/12/2022;n.d.;n.d.;n.d.;6;n.d.;n.d.;6202;n.d.;n.d.;n.d.
800.;MALAGA NOVANET SOLUCIONES INFORMATICAS SL.;B42810812;MALAGA;ESPANA;n.d.;28/01/2021;31/12/2024;40,43;223;499;4;267,44;2,67;6203;0;91;69
801.;PROYECTO FINTECH 1984 S.L.;B16689861;BARCELONA;ESPANA;503;07/07/2021;31/12/2023;-58,45;938;593;14;37,81;0,38;6201;3,16;-471;-469
802.;BABY ROBOT GAMES S.L.;B01961028;BARCELONA;ESPANA;n.d.;25/09/2020;31/12/2022;n.d.;n.d.;n.d.;12;n.d.;n.d.;6201;n.d.;n.d.;n.d.
803.;SISCORE SISTEMAS SL.;B88293584;MADRID;ESPANA;n.d.;30/01/2019;31/12/2024;7,14;119;469;1;171,43;1,71;6202;1,42;9;7
804.;SILICON CHECK S.L.;B67572552;SABADELL;ESPANA;n.d.;13/01/2020;31/12/2024;48,13;730;475;1;478,83;4,79;6209;0;353;270
805.;EYESIGHT FORENSICS SL.;B10820116;MADRID;ESPANA;n.d.;16/06/2022;31/12/2024;15,21;236;458;1;222,33;2,22;6202;50,51;39;28
806.;ONEN PROFESSIONAL TECHNOLOGIES SL.;B20999009;ARRASATE/MONDRAGON;ESPANA;n.d.;28/04/2023;31/12/2024;19,41;533;834;14;185,02;1,85;6202;0;108;96
807.;DANCAUSA CONSULTING SL.;B42833707;ZARAGOZA;ESPANA;n.d.;03/02/2021;31/12/2023;73,02;120;591;1;520,75;5,21;6202;22,58;88;74
808.;LAB CAVE GAMING SL.;B06859391;MADRID;ESPANA;n.d.;03/06/2021;31/12/2022;n.d.;n.d.;n.d.;28;n.d.;n.d.;6203;n.d.;n.d.;n.d.
809.;NOVADIGITS TECHNOLOGIES S.L.;B67463588;BARCELONA;ESPANA;676;27/06/2019;31/12/2024;-52,92;1.831;360;17;556,53;5,57;6209;16,51;-809;-765
810.;STUDIO128K SL.;B56110794;CORDOBA;ESPANA;n.d.;04/03/2019;31/12/2024;19,74;237;510;11;137,73;1,38;6201;21,95;51;36
811.;EXECIT CONSULTING SL.;B56203938;MADRID;ESPANA;n.d.;14/07/2023;31/12/2024;-10,04;72;56;5;95,81;0,96;6202;6,07;-7;-6
812.;TECHPEOPLE CONSULTING SL.;B42879635;MADRID;ESPANA;n.d.;12/02/2021;31/12/2024;41,01;125;441;7;201,23;2,01;6201;0;54;39
813.;ELBA SISTEMAS 2020 S.L.;B67620815;BIGUES I RIELLS DEL FAI;ESPANA;n.d.;08/05/2020;31/12/2024;15,62;103;445;4;132,84;1,33;6202;0;18;13
814.;APACHE DIGITAL STUDIO SL.;B01627587;MADRID;ESPANA;n.d.;16/06/2020;31/12/2024;16,52;614;377;3;133,97;1,34;6209;46,57;103;74
815.;ABISMA SYSTEMS S.L.;B67457598;BARCELONA;ESPANA;n.d.;12/06/2019;31/12/2024;18,45;205;623;6;135,18;1,35;6202;42,53;39;28
816.;MB ZOOM GESTION SL.;B01786219;MADRID;ESPANA;n.d.;24/07/2020;31/12/2022;n.d.;n.d.;n.d.;1;n.d.;n.d.;6399;n.d.;n.d.;n.d.
817.;SISTEMAS MIRAL S.L.;B72899289;SANT ANDREU DE LLAVANERES;ESPANA;n.d.;01/01/2023;31/12/2023;49,18;192;585;5;236,6;2,37;6203;4,37;95;95
818.;SMART CIC GLOBAL SERVICES SPAIN SL.;B88491329;MADRID;ESPANA;n.d.;16/10/2019;31/12/2022;n.d.;n.d.;n.d.;6;n.d.;n.d.;6203;n.d.;n.d.;n.d.
